Symbol,Interval,Strategy,EntryType,ExitType,EntryDate,ExitDate,Profit,EntryPrice,ExitPrice
UNITDSPR,1wk,MacdNewShort,SELL,OPEN,1768246391,1768246391,0.0,1327.6,1327.6
RELIANCE,1wk,MACDShort,SELL,OPEN,1768246388,1768246388,0.0,1483.2,1483.2
PIDILITIND,1wk,MACDLong,BUY,OPEN,1768246387,1768246387,0.0,1500.8,1500.8
METROPOLIS,1wk,MacdNewShort,SELL,OPEN,1768246384,1768246384,0.0,1875.1,1875.1
LT,1wk,MACDShort,SELL,OPEN,1768246382,1768246382,0.0,4019.0,4019.0
ICICIBANK,1wk,MACDLong,BUY,OPEN,1768246379,1768246379,0.0,1413.1,1413.1
HAVELLS,1wk,MACDLong,BUY,OPEN,1768246378,1768246378,0.0,1450.4,1450.4
COROMANDEL,1wk,MACDShort,SELL,OPEN,1768246375,1768246375,0.0,2289.2,2289.2
CHOLAFIN,1wk,MACDShort,SELL,OPEN,1768246374,1768246374,0.0,1710.8,1710.8
BIOCON,1wk,MACDShort,SELL,OPEN,1768246373,1768246373,0.0,371.8,371.8
BPCL,1wk,MACDShort,SELL,OPEN,1768246373,1768246373,0.0,358.75,358.75
BHARTIARTL,1wk,MACDShort,SELL,OPEN,1768156200,1768246372,-0.83,2027.1,2044.0
DABUR,1wk,MacdNewLong,BUY,OPEN,1768156200,1768246375,0.31,522.4,524.0
DRREDDY,1wk,MacdNewShort,SELL,OPEN,1768156200,1768246376,-0.45,1210.1,1215.5
GODREJCP,1wk,MacdNewLong,BUY,OPEN,1768156200,1768246377,0.54,1229.6,1236.2
HINDPETRO,1wk,MACDShort,SELL,OPEN,1768156200,1768246379,-0.51,448.75,451.05
IOC,1wk,MACDShort,SELL,OPEN,1768156200,1768246381,-0.4,157.61,158.24
LTF,1wk,MACDShort,SELL,OPEN,1768156200,1768246382,1.18,299.7,296.15
NAVINFLUOR,1wk,MACDShort,SELL,OPEN,1768156200,1768246385,-1.57,5698.5,5788.0
Nifty 50,1wk,MACDShort,SELL,OPEN,1768156200,1768246385,-0.42,25683.3,25790.25
UNITDSPR,1wk,MACDShort,SELL,OPEN,1768156200,1768246391,0.26,1331.0,1327.6
ADANIPORTS,1wk,MACDShort,SELL,OPEN,1767551400,1768246369,3.09,1489.5,1443.5
APOLLOTYRE,1wk,MACDShort,SELL,OPEN,1767551400,1768246370,-1.3,497.25,503.7
BERGEPAINT,1wk,MacdNewShort,SELL,OPEN,1767551400,1768246372,2.71,524.1,509.9
CHAMBLFERT,1wk,MACDLong,BUY,CLOSED,1767551400,1768156200,-6.12,479.9,450.55
COALINDIA,1wk,MacdNewLong,BUY,OPEN,1767551400,1768246374,1.03,427.9,432.3
GUJGASLTD,1wk,MACDLong,BUY,CLOSED,1767551400,1768246378,-4.46,436.3,416.85
IRCTC,1wk,MACDLong,BUY,CLOSED,1767551400,1768156200,-8.23,694.85,637.65
NTPC,1wk,MACDLong,BUY,CLOSED,1767551400,1768156200,-4.57,352.1,336.0
ALKEM,1wk,MACDShort,SELL,CLOSED,1766946600,1768156200,-4.77,5535.0,5799.0
BERGEPAINT,1wk,GoldenCrossLong,BUY,OPEN,1766946600,1768246372,-5.93,542.05,509.9
CIPLA,1wk,MacdNewShort,SELL,OPEN,1766946600,1768246374,2.71,1506.0,1465.2
COFORGE,1wk,MACDShort,SELL,OPEN,1766946600,1768246374,-1.42,1673.3,1697.1
CONCOR,1wk,MACDLong,BUY,OPEN,1766946600,1768246374,-1.39,520.3,513.05
CUMMINSIND,1wk,MACDShort,SELL,CLOSED,1766946600,1767551400,-3.12,4346.4,4482.1
DEEPAKNTR,1wk,MACDLong,BUY,CLOSED,1766946600,1767551400,-3.06,1765.2,1711.1
Nifty Financial Services,1wk,MACDShort,SELL,OPEN,1766946600,1768246376,-0.32,27430.75,27518.5
HEROMOTOCO,1wk,MACDShort,SELL,CLOSED,1766946600,1767551400,-5.25,5637.0,5933.0
PNB,1wk,MACDShort,SELL,CLOSED,1766946600,1767551400,-4.14,120.37,125.35
PVRINOX,1wk,MacdNewShort,SELL,OPEN,1766946600,1768246387,1.9,1000.9,981.9
TATACOMM,1wk,MACDShort,SELL,OPEN,1766946600,1768246389,2.27,1777.6,1737.3
WIPRO,1wk,MacdNewLong,BUY,OPEN,1766946600,1768246391,-1.2,266.3,263.1
APOLLOHOSP,1wk,MacdNewShort,SELL,OPEN,1766341800,1768246369,-3.65,7012.5,7268.5
ASTRAL,1wk,MacdNewShort,SELL,OPEN,1766341800,1768246370,-1.06,1423.6,1438.7
ATUL,1wk,MACDLong,BUY,OPEN,1766341800,1768246370,3.06,6007.0,6191.0
BERGEPAINT,1wk,MACDShort,SELL,CLOSED,1766341800,1768156200,4.42,538.0,514.2
BSOFT,1wk,MacdNewLong,BUY,OPEN,1766341800,1768246373,-4.64,433.45,413.35
COALINDIA,1wk,MACDLong,BUY,CLOSED,1766341800,1766946600,4.29,385.6,402.15
DABUR,1wk,MacdNewShort,SELL,CLOSED,1766341800,1768156200,-5.76,493.95,522.4
GODREJCP,1wk,MACDLong,BUY,CLOSED,1766341800,1767551400,4.13,1186.2,1235.2
ICICIGI,1wk,MACDShort,SELL,OPEN,1766341800,1768246379,2.25,1954.3,1910.3
INDHOTEL,1wk,MACDLong,BUY,CLOSED,1766341800,1768156200,-5.21,731.2,693.1
INDIGO,1wk,MacdNewShort,SELL,OPEN,1766341800,1768246380,5.89,5153.5,4850.0
INFY,1wk,MacdNewLong,BUY,OPEN,1766341800,1768246381,-2.61,1638.7,1595.9
LALPATHLAB,1wk,MacdNewShort,SELL,OPEN,1766341800,1768246382,0.76,1391.6,1381.0
M&M,1wk,MACDShort,SELL,CLOSED,1766341800,1767551400,-5.52,3603.6,3802.4
ONGC,1wk,MacdNewShort,SELL,OPEN,1766341800,1768246386,-1.21,232.89,235.71
SIEMENS,1wk,MacdNewShort,SELL,OPEN,1766341800,1768246389,4.2,3111.6,2980.8
TECHM,1wk,MacdNewLong,BUY,OPEN,1766341800,1768246390,-1.64,1612.5,1586.1
DABUR,1wk,MACDShort,SELL,CLOSED,1765737000,1767551400,-5.58,495.0,522.6
DIVISLAB,1wk,MACDShort,SELL,OPEN,1765737000,1768246375,-0.92,6426.5,6485.5
ESCORTS,1wk,MACDShort,SELL,CLOSED,1765737000,1767551400,-5.12,3659.7,3847.1
HAL,1wk,MacdNewShort,SELL,OPEN,1765737000,1768246378,-5.02,4302.5,4518.4
ICICIPRULI,1wk,MacdNewLong,BUY,OPEN,1765737000,1768246380,5.13,647.55,680.75
LTTS,1wk,MacdNewLong,BUY,OPEN,1765737000,1768246383,-7.69,4676.0,4316.3
