Symbol,Interval,Strategy,EntryType,ExitType,EntryDate,ExitDate,Profit,EntryPrice,ExitPrice
NATCOPHARM,1d,ChartLongStrategy,BUY,OPEN,1763972295,1768235404,0.83,850.8,857.85
LEMONTREE,1d,ChartShortStrategy,SELL,OPEN,1761896918,1768235398,10.11,169.1,152.0
CEATLTD,1d,ChartLongStrategy,BUY,OPEN,1761192175,1768235393,-12.59,4309.4,3767.0
MINDACORP,1d,ChartLongStrategy,BUY,OPEN,1759854602,1768235404,-2.46,594.35,579.75
LTF,1d,ChartLongStrategy,BUY,OPEN,1759854602,1768235400,14.22,259.28,296.15
UJJIVANSFB,1d,ChartLongStrategy,BUY,OPEN,1759854602,1768235401,20.45,48.42,58.32
SHRIRAMFIN,1d,ChartLongStrategy,BUY,OPEN,1759854601,1768235398,45.89,666.8,972.8
SUNTV,1d,ChartLongStrategy,BUY,OPEN,1759854601,1768235402,-4.36,583.75,558.3
MTARTECH,1d,ChartLongStrategy,BUY,OPEN,1759854600,1768235398,35.62,1966.2,2666.6
FORTIS,1d,ChartLongStrategy,BUY,OPEN,1759854600,1768235399,-14.25,1041.8,893.3
NYKAA,1d,ChartLongStrategy,BUY,OPEN,1759854600,1768235403,-3.68,262.4,252.75
NATIONALUM,1d,ChartLongStrategy,BUY,OPEN,1759854600,1768235403,61.26,217.07,350.05
ADANIPOWER,1d,ChartLongStrategy,BUY,OPEN,1759854599,1768235403,-5.9,151.48,142.54
HINDPETRO,1d,ChartLongStrategy,BUY,OPEN,1759854597,1768235404,-0.7,454.25,451.05
AIAENG,1d,ChartLongStrategy,BUY,OPEN,1759486500,1768235385,23.65,3224.3,3986.8
HDFCBANK,1d,ChartShortStrategy,SELL,OPEN,1756485000,1768235400,1.54,951.6,936.95
ASHOKLEY,1d,ChartLongStrategy,BUY,OPEN,1756398603,1768235400,44.05,129.82,187.01
