Name,Selected,Price,Change,OI Change,Change Prev,OI Change Prev
AARTIIND,true,617.0499877929688,-1.59,0.0,1.01,0.0
ABB,true,7650.10009765625,-3.6,0.0,1.8,0.0
ABBOTINDIA,true,29664.099609375,-1.76,0.0,3.89,0.0
ABCAPITAL,true,223.64999389648438,1.61,0.0,0.47,0.0
ABFRL,true,315.29998779296875,1.15,0.0,-2.44,0.0
ACC,true,2419.800048828125,3.89,0.0,0.23,0.0
ADANIENT,true,3015.35009765625,-0.13,0.0,-1.85,0.0
ADANIPORTS,true,1465.550048828125,-1.1,0.0,-0.63,0.0
ALKEM,true,6276.5498046875,1.72,0.0,7.24,0.0
AMBUJACEM,true,631.8499755859375,2.4,0.0,-2.61,0.0
APOLLOHOSP,true,6934.2998046875,0.1,0.0,0.97,0.0
APOLLOTYRE,true,512.0,3.88,0.0,-3.09,0.0
ASHOKLEY,true,251.14999389648438,-2.07,0.0,-1.52,0.0
ASIANPAINT,true,3238.25,3.56,0.0,-0.88,0.0
ASTRAL,true,1911.0999755859375,-3.68,0.0,2.27,0.0
ATUL,true,7354.35009765625,6.13,0.0,2.45,0.0
AUBANK,true,725.6500244140625,-1.61,0.0,3.73,0.0
AUROPHARMA,true,825.5499877929688,-0.36,0.0,-3.42,0.0
AXISBANK,true,991.1500244140625,0.82,0.0,4.25,0.0
BAJAJ-AUTO,true,4668.4501953125,1.84,0.0,-0.68,0.0
BAJAJFINSV,true,1514.5,0.7,0.0,3.0,0.0
BAJFINANCE,true,7320.60009765625,1.51,0.0,5.09,0.0
BALKRISIND,true,2361.800048828125,-0.58,0.0,-0.18,0.0
BALRAMCHIN,true,395.5,3.02,0.0,-0.29,0.0
BANDHANBNK,true,235.10000610351562,-0.34,0.0,2.81,0.0
BANKBARODA,true,190.60000610351562,0.45,0.0,-1.02,0.0
Nifty Bank,true,44436.1015625,0.46,0.0,0.87,0.0
BATAINDIA,true,1684.199951171875,-1.07,0.0,-1.2,0.0
BEL,true,137.85000610351562,3.34,0.0,4.92,0.0
BERGEPAINT,true,599.875,2.2,0.0,-0.13,0.0
BHARATFORG,true,1078.800048828125,5.49,0.0,5.35,0.0
BHARTIARTL,true,865.9500122070312,-0.86,0.0,2.01,0.0
BHEL,true,136.14999389648438,29.36,0.0,7.4,0.0
BIOCON,true,260.79998779296875,2.11,0.0,-1.08,0.0
BOSCHLTD,true,18986.80078125,3.87,0.0,-0.05,0.0
BPCL,true,172.10000610351562,-1.73,0.0,-0.75,0.0
BRITANNIA,true,4484.35009765625,-0.92,0.0,-0.2,0.0
BSOFT,true,528.3499755859375,9.04,0.0,6.83,0.0
CANBK,true,65.68000030517578,0.86,0.0,-0.81,0.0
CANFINHOME,true,760.0,2.86,0.0,1.7,0.0
CHAMBLFERT,true,278.95001220703125,3.39,0.0,3.69,0.0
CHOLAFIN,true,1128.8499755859375,4.31,0.0,6.42,0.0
CIPLA,true,1245.4000244140625,2.98,0.0,-2.18,0.0
COALINDIA,true,236.89999389648438,4.04,0.0,0.11,0.0
COFORGE,true,5451.89990234375,3.72,0.0,6.83,0.0
COLPAL,true,1939.4000244140625,-1.67,0.0,-1.21,0.0
CONCOR,true,687.0,3.57,0.0,1.31,0.0
COROMANDEL,true,1111.0,4.33,0.0,-0.48,0.0
CROMPTON,true,303.04998779296875,0.63,0.0,3.56,0.0
CUB,true,125.5999984741211,1.45,0.0,1.6,0.0
CUMMINSIND,true,1706.0,-0.51,0.0,-0.94,0.0
DABUR,true,553.3499755859375,-0.84,0.0,-1.32,0.0
DALBHARAT,true,2123.550048828125,5.98,0.0,5.57,0.0
DEEPAKNTR,true,2226.050048828125,10.28,0.0,1.18,0.0
DIVISLAB,true,3589.300048828125,-1.3,0.0,-0.5,0.0
DIXON,true,5057.25,4.06,0.0,2.57,0.0
DLF,true,503.25,5.89,0.0,0.25,0.0
DRREDDY,true,5578.5498046875,-3.47,0.0,-1.62,0.0
EICHERMOT,true,3400.39990234375,1.77,0.0,-0.25,0.0
ESCORTS,true,3133.89990234375,2.7,0.0,7.03,0.0
EXIDEIND,true,265.75,2.61,0.0,-3.27,0.0
FEDERALBNK,true,143.8000030517578,2.2,0.0,4.88,0.0
Nifty Financial Services,true,19764.349609375,0.57,0.0,0.87,0.0
GAIL,true,121.3499984741211,4.16,0.0,3.46,0.0
GLENMARK,true,757.0499877929688,2.38,0.0,-3.49,0.0
GMRINFRA,true,62.95000076293945,1.21,0.0,16.7,0.0
GNFC,true,623.4000244140625,9.71,0.0,4.96,0.0
GODREJCP,true,1005.3499755859375,-2.43,0.0,0.38,0.0
GODREJPROP,true,1643.6500244140625,3.04,0.0,4.53,0.0
GRANULES,true,302.29998779296875,2.79,0.0,1.29,0.0
GRASIM,true,1804.3255615234375,1.98,0.0,-0.82,0.0
GUJGASLTD,true,458.0,1.01,0.0,0.19,0.0
HAL,true,1970.875,0.8,0.0,3.23,0.0
HAVELLS,true,1377.75,5.31,0.0,1.72,0.0
HCLTECH,true,1185.800048828125,2.76,0.0,-1.68,0.0
HDFCAMC,true,2431.25,-2.7,0.0,-0.12,0.0
HDFCBANK,true,1574.699951171875,0.85,0.0,-1.84,0.0
HDFCLIFE,true,641.3499755859375,2.08,0.0,0.38,0.0
HEROMOTOCO,true,2927.39990234375,0.57,0.0,-0.55,0.0
HINDALCO,true,473.25,5.17,0.0,2.39,0.0
HINDCOPPER,true,167.10000610351562,15.36,0.0,2.91,0.0
HINDPETRO,true,166.8333282470703,-4.3,0.0,0.13,0.0
HINDUNILVR,true,2504.800048828125,-2.29,0.0,0.34,0.0
ICICIBANK,true,968.7000122070312,-0.18,0.0,2.08,0.0
ICICIGI,true,1341.3499755859375,1.17,0.0,-0.16,0.0
ICICIPRULI,true,561.7999877929688,2.51,0.0,1.96,0.0
IDEA,true,15.09000015258789,1.75,0.0,-1.85,0.0
IDFC,true,123.5,2.02,0.0,1.59,0.0
IDFCFIRSTB,true,93.4000015258789,2.52,0.0,2.42,0.0
IEX,true,131.75,6.12,0.0,0.2,0.0
IGL,true,467.04998779296875,5.96,0.0,2.7,0.0
INDHOTEL,true,424.25,8.23,0.0,2.71,0.0
INDIAMART,true,3111.85009765625,3.18,0.0,-2.11,0.0
INDIGO,true,2438.89990234375,-0.78,0.0,0.16,0.0
INDUSINDBK,true,1416.550048828125,1.1,0.0,2.15,0.0
INDUSTOWER,true,181.6999969482422,7.93,0.0,5.91,0.0
INFY,true,1443.8499755859375,1.67,0.0,2.25,0.0
IOC,true,89.05000305175781,-3.0,0.0,0.44,0.0
IPCALAB,true,866.7999877929688,-1.94,0.0,0.71,0.0
IRCTC,true,688.3499755859375,4.57,0.0,2.31,0.0
ITC,true,441.04998779296875,-0.52,0.0,0.38,0.0
JINDALSTEL,true,701.0999755859375,10.51,0.0,-1.04,0.0
JKCEMENT,true,3341.0,5.2,0.0,3.22,0.0
JSWSTEEL,true,806.4000244140625,4.3,0.0,-1.77,0.0
JUBLFOOD,true,506.04998779296875,4.32,0.0,0.78,0.0
KOTAKBANK,true,1771.0999755859375,-0.44,0.0,1.6,0.0
LALPATHLAB,true,2201.25,-0.15,0.0,-1.67,0.0
LAURUSLABS,true,396.45001220703125,2.3,0.0,1.63,0.0
LICHSGFIN,true,433.20001220703125,3.82,0.0,0.85,0.0
LT,true,2702.10009765625,2.41,0.0,-0.13,0.0
LTF,true,126.44999694824219,4.07,0.0,2.92,0.0
LTIM,true,5303.35009765625,3.43,0.0,0.83,0.0
LTTS,true,4450.7001953125,2.48,0.0,1.7,0.0
