Name,Selected,Price,Change,OI Change,Change Prev,OI Change Prev
DHRUV,true,0.0,0.0,0.0,0.0,0.0
HINDNATGLS,true,0.0,0.0,0.0,0.0,0.0
SUMICHEM,true,0.0,0.0,0.0,0.0,0.0
SUZLON,true,0.0,0.0,0.0,0.0,0.0
TIJARIA,true,0.0,0.0,0.0,0.0,0.0
AKASH,true,0.0,0.0,0.0,0.0,0.0
APEX,true,0.0,0.0,0.0,0.0,0.0
DIL,true,0.0,0.0,0.0,0.0,0.0
EQUITASBNK,true,0.0,0.0,0.0,0.0,0.0
NORBTEAEXP,true,0.0,0.0,0.0,0.0,0.0
ORIENTTECH,true,0.0,0.0,0.0,0.0,0.0
SALONA,true,0.0,0.0,0.0,0.0,0.0
SUKHJITS,true,0.0,0.0,0.0,0.0,0.0
VHLTD,true,0.0,0.0,0.0,0.0,0.0
CEATLTD,true,0.0,0.0,0.0,0.0,0.0
FINPIPE,true,0.0,0.0,0.0,0.0,0.0
CANBK,true,0.0,0.0,0.0,0.0,0.0
EIHAHOTELS,true,0.0,0.0,0.0,0.0,0.0
PRITIKAUTO,true,0.0,0.0,0.0,0.0,0.0
VRAJ,true,0.0,0.0,0.0,0.0,0.0
LIQUID1,true,0.0,0.0,0.0,0.0,0.0
METROPOLIS,true,0.0,0.0,0.0,0.0,0.0
SANSERA,true,0.0,0.0,0.0,0.0,0.0
SEMAC,true,0.0,0.0,0.0,0.0,0.0
LFIC,true,0.0,0.0,0.0,0.0,0.0
MEDICO,true,0.0,0.0,0.0,0.0,0.0
MOLDTECH,true,0.0,0.0,0.0,0.0,0.0
UTINEXT50,true,0.0,0.0,0.0,0.0,0.0
IMFA,true,0.0,0.0,0.0,0.0,0.0
ABSLBANETF,true,0.0,0.0,0.0,0.0,0.0
CREDITACC,true,0.0,0.0,0.0,0.0,0.0
FINCABLES,true,0.0,0.0,0.0,0.0,0.0
HARRMALAYA,true,0.0,0.0,0.0,0.0,0.0
VOLTAMP,true,0.0,0.0,0.0,0.0,0.0
DPABHUSHAN,true,0.0,0.0,0.0,0.0,0.0
GOYALALUM,true,0.0,0.0,0.0,0.0,0.0
HDFCLIFE,true,0.0,0.0,0.0,0.0,0.0
RAINBOW,true,0.0,0.0,0.0,0.0,0.0
RPTECH,true,0.0,0.0,0.0,0.0,0.0
TIRUMALCHM,true,0.0,0.0,0.0,0.0,0.0
UNITEDTEA,true,0.0,0.0,0.0,0.0,0.0
JYOTHYLAB,true,0.0,0.0,0.0,0.0,0.0
KDDL,true,0.0,0.0,0.0,0.0,0.0
MIDCAP,true,0.0,0.0,0.0,0.0,0.0
MAGNUM,true,0.0,0.0,0.0,0.0,0.0
NGLFINE,true,0.0,0.0,0.0,0.0,0.0
AAVAS,true,0.0,0.0,0.0,0.0,0.0
AWHCL,true,0.0,0.0,0.0,0.0,0.0
CONSOFINVT,true,0.0,0.0,0.0,0.0,0.0
KREBSBIO,true,0.0,0.0,0.0,0.0,0.0
BASF,true,0.0,0.0,0.0,0.0,0.0
EXICOM,true,0.0,0.0,0.0,0.0,0.0
GEOJITFSL,true,0.0,0.0,0.0,0.0,0.0
HINDCOMPOS,true,0.0,0.0,0.0,0.0,0.0
PPLPHARMA,true,0.0,0.0,0.0,0.0,0.0
VPRPL,true,0.0,0.0,0.0,0.0,0.0
TARIL,true,0.0,0.0,0.0,0.0,0.0
ZOTA,true,0.0,0.0,0.0,0.0,0.0
ABB,true,0.0,0.0,0.0,0.0,0.0
BANARISUG,true,0.0,0.0,0.0,0.0,0.0
ORBTEXP,true,0.0,0.0,0.0,0.0,0.0
SSDL,true,0.0,0.0,0.0,0.0,0.0
AHLEAST,true,0.0,0.0,0.0,0.0,0.0
BLUECHIP,true,0.0,0.0,0.0,0.0,0.0
CARERATING,true,0.0,0.0,0.0,0.0,0.0
FOCUS,true,0.0,0.0,0.0,0.0,0.0
GMRINFRA,true,0.0,0.0,0.0,0.0,0.0
BSE500IETF,true,0.0,0.0,0.0,0.0,0.0
REFEX,true,0.0,0.0,0.0,0.0,0.0
SETF10GILT,true,0.0,0.0,0.0,0.0,0.0
TCLCONS,true,0.0,0.0,0.0,0.0,0.0
MOKSH,true,0.0,0.0,0.0,0.0,0.0
TPLPLASTEH,true,0.0,0.0,0.0,0.0,0.0
LPDC,true,0.0,0.0,0.0,0.0,0.0
LICHSGFIN,true,0.0,0.0,0.0,0.0,0.0
ACCURACY,true,0.0,0.0,0.0,0.0,0.0
ALKYLAMINE,true,0.0,0.0,0.0,0.0,0.0
BIKAJI,true,0.0,0.0,0.0,0.0,0.0
GOKEX,true,0.0,0.0,0.0,0.0,0.0
GULPOLY,true,0.0,0.0,0.0,0.0,0.0
HITECHCORP,true,0.0,0.0,0.0,0.0,0.0
ARENTERP,true,0.0,0.0,0.0,0.0,0.0
MAHAPEXLTD,true,0.0,0.0,0.0,0.0,0.0
ANDHRAPAP,true,0.0,0.0,0.0,0.0,0.0
ABSLNN50ET,true,0.0,0.0,0.0,0.0,0.0
BCONCEPTS,true,0.0,0.0,0.0,0.0,0.0
EMAMIREAL,true,0.0,0.0,0.0,0.0,0.0
RAILTEL,true,0.0,0.0,0.0,0.0,0.0
ALPHA,true,0.0,0.0,0.0,0.0,0.0
MADHAV,true,0.0,0.0,0.0,0.0,0.0
ACCELYA,true,0.0,0.0,0.0,0.0,0.0
AXISILVER,true,0.0,0.0,0.0,0.0,0.0
ENTERO,true,0.0,0.0,0.0,0.0,0.0
SAMBHAAV,true,0.0,0.0,0.0,0.0,0.0
ASPINWALL,true,0.0,0.0,0.0,0.0,0.0
AURIONPRO,true,0.0,0.0,0.0,0.0,0.0
BLISSGVS,true,0.0,0.0,0.0,0.0,0.0
ELGIEQUIP,true,0.0,0.0,0.0,0.0,0.0
SCILAL,true,0.0,0.0,0.0,0.0,0.0
TITAN,true,0.0,0.0,0.0,0.0,0.0
WELINV,true,0.0,0.0,0.0,0.0,0.0
JNKINDIA,true,0.0,0.0,0.0,0.0,0.0
RAMCOCEM,true,0.0,0.0,0.0,0.0,0.0
VETO,true,0.0,0.0,0.0,0.0,0.0
MEGASOFT,true,0.0,0.0,0.0,0.0,0.0
CLEDUCATE,true,0.0,0.0,0.0,0.0,0.0
DELTACORP,true,0.0,0.0,0.0,0.0,0.0
DVL,true,0.0,0.0,0.0,0.0,0.0
GLOBALE,true,0.0,0.0,0.0,0.0,0.0
SKYGOLD,true,0.0,0.0,0.0,0.0,0.0
SSWL,true,0.0,0.0,0.0,0.0,0.0
VERANDA,true,0.0,0.0,0.0,0.0,0.0
VISHNU,true,0.0,0.0,0.0,0.0,0.0
BHARTIHEXA,true,0.0,0.0,0.0,0.0,0.0
EMAMILTD,true,0.0,0.0,0.0,0.0,0.0
GPTINFRA,true,0.0,0.0,0.0,0.0,0.0
SHRADHA,true,0.0,0.0,0.0,0.0,0.0
TOKYOPLAST,true,0.0,0.0,0.0,0.0,0.0
WEALTH,true,0.0,0.0,0.0,0.0,0.0
EBBETF0425,true,0.0,0.0,0.0,0.0,0.0
SINCLAIR,true,0.0,0.0,0.0,0.0,0.0
TIPSFILMS,true,0.0,0.0,0.0,0.0,0.0
TRIGYN,true,0.0,0.0,0.0,0.0,0.0
JAYSREETEA,true,0.0,0.0,0.0,0.0,0.0
E2E,true,0.0,0.0,0.0,0.0,0.0
GHCL,true,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,true,0.0,0.0,0.0,0.0,0.0
BAJAJHLDNG,true,0.0,0.0,0.0,0.0,0.0
CCHHL,true,0.0,0.0,0.0,0.0,0.0
GRWRHITECH,true,0.0,0.0,0.0,0.0,0.0
HYBRIDFIN,true,0.0,0.0,0.0,0.0,0.0
THYROCARE,true,0.0,0.0,0.0,0.0,0.0
TREEHOUSE,true,0.0,0.0,0.0,0.0,0.0
VHL,true,0.0,0.0,0.0,0.0,0.0
WEWIN,true,0.0,0.0,0.0,0.0,0.0
ZODIACLOTH,true,0.0,0.0,0.0,0.0,0.0
INFIBEAM,true,0.0,0.0,0.0,0.0,0.0
JKLAKSHMI,true,0.0,0.0,0.0,0.0,0.0
ARTEMISMED,true,0.0,0.0,0.0,0.0,0.0
ASIANENE,true,0.0,0.0,0.0,0.0,0.0
IIFLSEC,true,0.0,0.0,0.0,0.0,0.0
PANSARI,true,0.0,0.0,0.0,0.0,0.0
SURANAT&P,true,0.0,0.0,0.0,0.0,0.0
TTKHLTCARE,true,0.0,0.0,0.0,0.0,0.0
ZENITHEXPO,true,0.0,0.0,0.0,0.0,0.0
NIFTY1,true,0.0,0.0,0.0,0.0,0.0
NDGL,true,0.0,0.0,0.0,0.0,0.0
ABSLAMC,true,0.0,0.0,0.0,0.0,0.0
AEROFLEX,true,0.0,0.0,0.0,0.0,0.0
PCBL,true,0.0,0.0,0.0,0.0,0.0
TIMKEN,true,0.0,0.0,0.0,0.0,0.0
LANDMARK,true,0.0,0.0,0.0,0.0,0.0
MALUPAPER,true,0.0,0.0,0.0,0.0,0.0
ARE&M,true,0.0,0.0,0.0,0.0,0.0
CAPACITE,true,0.0,0.0,0.0,0.0,0.0
HARDWYN,true,0.0,0.0,0.0,0.0,0.0
FMCGIETF,true,0.0,0.0,0.0,0.0,0.0
SPAL,true,0.0,0.0,0.0,0.0,0.0
SUPREMEENG,true,0.0,0.0,0.0,0.0,0.0
IOLCP,true,0.0,0.0,0.0,0.0,0.0
DYCL,true,0.0,0.0,0.0,0.0,0.0
GLFL,true,0.0,0.0,0.0,0.0,0.0
SATIN,true,0.0,0.0,0.0,0.0,0.0
SIMPLEXINF,true,0.0,0.0,0.0,0.0,0.0
BALAJITELE,true,0.0,0.0,0.0,0.0,0.0
CARYSIL,true,0.0,0.0,0.0,0.0,0.0
DALMIASUG,true,0.0,0.0,0.0,0.0,0.0
GUFICBIO,true,0.0,0.0,0.0,0.0,0.0
HPL,true,0.0,0.0,0.0,0.0,0.0
PVTBANIETF,true,0.0,0.0,0.0,0.0,0.0
NAM-INDIA,true,0.0,0.0,0.0,0.0,0.0
QNIFTY,true,0.0,0.0,0.0,0.0,0.0
TIDEWATER,true,0.0,0.0,0.0,0.0,0.0
MOHITIND,true,0.0,0.0,0.0,0.0,0.0
