Name,Selected,Price,Change,OI Change,Change Prev,OI Change Prev
GSPL,true,0.0,0.0,0.0,0.0,0.0
GUJGASLTD,true,0.0,0.0,0.0,0.0,0.0
IOC,true,0.0,0.0,0.0,0.0,0.0
MGL,true,0.0,0.0,0.0,0.0,0.0
IGL,true,0.0,0.0,0.0,0.0,0.0
BPCL,true,0.0,0.0,0.0,0.0,0.0
PETRONET,true,0.0,0.0,0.0,0.0,0.0
HINDPETRO,true,0.0,0.0,0.0,0.0,0.0
AEGISLOG,true,0.0,0.0,0.0,0.0,0.0
GAIL,true,0.0,0.0,0.0,0.0,0.0
ONGC,true,0.0,0.0,0.0,0.0,0.0
ATGL,true,0.0,0.0,0.0,0.0,0.0
RELIANCE,true,0.0,0.0,0.0,0.0,0.0
CASTROLIND,true,0.0,0.0,0.0,0.0,0.0
OIL,true,0.0,0.0,0.0,0.0,0.0
