Name,Selected,Price,Change,OI Change,Change Prev,OI Change Prev
SBICARD,true,0.0,0.0,0.0,0.0,0.0
BAJFINANCE,true,0.0,0.0,0.0,0.0,0.0
ICICIGI,true,0.0,0.0,0.0,0.0,0.0
BAJAJFINSV,true,0.0,0.0,0.0,0.0,0.0
SHRIRAMFIN,true,0.0,0.0,0.0,0.0,0.0
MUTHOOTFIN,true,0.0,0.0,0.0,0.0,0.0
HDFCBANK,true,0.0,0.0,0.0,0.0,0.0
SBILIFE,true,0.0,0.0,0.0,0.0,0.0
KOTAKBANK,true,0.0,0.0,0.0,0.0,0.0
ICICIPRULI,true,0.0,0.0,0.0,0.0,0.0
CHOLAFIN,true,0.0,0.0,0.0,0.0,0.0
LICHSGFIN,true,0.0,0.0,0.0,0.0,0.0
AXISBANK,true,0.0,0.0,0.0,0.0,0.0
HDFCLIFE,true,0.0,0.0,0.0,0.0,0.0
IDFC,true,0.0,0.0,0.0,0.0,0.0
HDFCAMC,true,0.0,0.0,0.0,0.0,0.0
PFC,true,0.0,0.0,0.0,0.0,0.0
ICICIBANK,true,0.0,0.0,0.0,0.0,0.0
RECLTD,true,0.0,0.0,0.0,0.0,0.0
SBIN,true,0.0,0.0,0.0,0.0,0.0
