Name,Selected,Price,Change,OI Change,Change Prev,OI Change Prev
Nifty Next 50,true,0.0,0.0,0.0,0.0,0.0
Nifty FMCG,true,0.0,0.0,0.0,0.0,0.0
Nifty Alpha 50,true,0.0,0.0,0.0,0.0,0.0
Nifty Midcap 100,true,0.0,0.0,0.0,0.0,0.0
Nifty Bank,true,0.0,0.0,0.0,0.0,0.0
Nifty Energy,true,0.0,0.0,0.0,0.0,0.0
Nifty IT,true,0.0,0.0,0.0,0.0,0.0
Nifty100 Equal Weight,true,0.0,0.0,0.0,0.0,0.0
Nifty Services Sector,true,0.0,0.0,0.0,0.0,0.0
Nifty MNC,true,0.0,0.0,0.0,0.0,0.0
Nifty 100,true,0.0,0.0,0.0,0.0,0.0
Nifty Auto,true,0.0,0.0,0.0,0.0,0.0
Nifty Private Bank,true,0.0,0.0,0.0,0.0,0.0
Nifty 50,true,0.0,0.0,0.0,0.0,0.0
Nifty Financial Services,true,0.0,0.0,0.0,0.0,0.0
Nifty 500,true,0.0,0.0,0.0,0.0,0.0
Nifty Pharma,true,0.0,0.0,0.0,0.0,0.0
Nifty Midcap 150,true,0.0,0.0,0.0,0.0,0.0
Nifty 100 Low Volatility 30,true,0.0,0.0,0.0,0.0,0.0
Nifty MidSmallcap 400,true,0.0,0.0,0.0,0.0,0.0
Nifty Smallcap 100,true,0.0,0.0,0.0,0.0,0.0
Nifty Smallcap 250,true,0.0,0.0,0.0,0.0,0.0
Nifty Midcap 50,true,0.0,0.0,0.0,0.0,0.0
Nifty LargeMidcap 250,true,0.0,0.0,0.0,0.0,0.0
Nifty India Manufacturing Index,true,0.0,0.0,0.0,0.0,0.0
Nifty 200,true,0.0,0.0,0.0,0.0,0.0
Nifty50 Value 20,true,0.0,0.0,0.0,0.0,0.0
Nifty Midcap Liquid 15,true,0.0,0.0,0.0,0.0,0.0
Nifty Oil & Gas,true,0.0,0.0,0.0,0.0,0.0
Nifty Growth Sectors 15,true,0.0,0.0,0.0,0.0,0.0
Nifty India Consumption,true,0.0,0.0,0.0,0.0,0.0
Nifty PSE,true,0.0,0.0,0.0,0.0,0.0
Nifty Commodities,true,0.0,0.0,0.0,0.0,0.0
Nifty Smallcap 50,true,0.0,0.0,0.0,0.0,0.0
Nifty Infrastructure,true,0.0,0.0,0.0,0.0,0.0
Nifty Metal,true,0.0,0.0,0.0,0.0,0.0
Nifty CPSE,true,0.0,0.0,0.0,0.0,0.0
Nifty100 Liquid 15,true,0.0,0.0,0.0,0.0,0.0
Nifty Dividend Opportunities 50,true,0.0,0.0,0.0,0.0,0.0
Nifty PSU Bank,true,0.0,0.0,0.0,0.0,0.0
Nifty Quality 30,true,0.0,0.0,0.0,0.0,0.0
Nifty Media,true,0.0,0.0,0.0,0.0,0.0
Nifty Realty,true,0.0,0.0,0.0,0.0,0.0
