Name,Selected,Price,Change,OI Change,Change Prev,OI Change Prev
DHRUV,true,124.19000244140625,-0.02,0.0,-9.62,0.0
HINDNATGLS,true,23.18000030517578,10.22,0.0,9.76,0.0
SUMICHEM,true,608.8499755859375,13.12,0.0,5.26,0.0
SUZLON,true,78.05000305175781,4.46,0.0,-1.48,0.0
TIJARIA,true,14.9399995803833,5.14,0.0,-0.49,0.0
AKASH,true,39.04999923706055,-0.08,0.0,-0.38,0.0
APEX,true,259.20001220703125,-0.82,0.0,0.71,0.0
DIL,true,5.96999979019165,-1.32,0.0,-0.33,0.0
EQUITASBNK,true,81.83999633789062,-0.97,0.0,1.64,0.0
NORBTEAEXP,true,18.770000457763672,10.22,0.0,13.23,0.0
ORIENTTECH,true,309.45001220703125,2.53,0.0,-9.48,0.0
SALONA,true,288.1000061035156,-0.77,0.0,-1.44,0.0
SUKHJITS,true,595.4500122070312,9.51,0.0,5.97,0.0
VHLTD,true,117.0,-0.1,0.0,1.52,0.0
CEATLTD,true,2872.800048828125,1.17,0.0,-0.41,0.0
FINPIPE,true,312.45001220703125,0.26,0.0,1.45,0.0
CANBK,true,103.75,0.14,0.0,-0.39,0.0
EIHAHOTELS,true,433.5,1.4,0.0,3.4,0.0
PRITIKAUTO,true,31.969999313354492,2.34,0.0,0.81,0.0
VRAJ,true,266.7900085449219,8.11,0.0,16.49,0.0
LIQUID1,true,1007.6300048828125,0.02,0.0,0.02,0.0
METROPOLIS,true,2194.35009765625,1.04,0.0,0.84,0.0
SANSERA,true,1448.949951171875,0.24,0.0,3.18,0.0
SEMAC,true,466.1000061035156,1.02,0.0,1.25,0.0
LFIC,true,249.35000610351562,2.85,0.0,2.0,0.0
MEDICO,true,45.84000015258789,1.98,0.0,-2.01,0.0
MOLDTECH,true,235.4199981689453,0.48,0.0,0.09,0.0
UTINEXT50,true,79.86000061035156,1.06,0.0,-0.33,0.0
IMFA,true,642.0,0.1,0.0,2.26,0.0
ABSLBANETF,true,52.04999923706055,0.13,0.0,1.05,0.0
CREDITACC,true,1209.25,-0.37,0.0,0.65,0.0
FINCABLES,true,1391.9000244140625,0.43,0.0,-0.01,0.0
HARRMALAYA,true,231.1999969482422,-1.28,0.0,-2.9,0.0
VOLTAMP,true,13685.099609375,-0.47,0.0,-0.1,0.0
DPABHUSHAN,true,1676.0,2.95,0.0,-0.32,0.0
GOYALALUM,true,9.550000190734863,1.49,0.0,1.73,0.0
HDFCLIFE,true,700.0,-0.41,0.0,-4.47,0.0
RAINBOW,true,1333.1500244140625,1.54,0.0,2.78,0.0
RPTECH,true,395.54998779296875,-0.86,0.0,2.45,0.0
TIRUMALCHM,true,335.29998779296875,0.69,0.0,2.62,0.0
UNITEDTEA,true,433.1499938964844,0.28,0.0,-1.03,0.0
JYOTHYLAB,true,589.1500244140625,4.67,0.0,2.78,0.0
KDDL,true,3200.89990234375,-0.02,0.0,1.35,0.0
MIDCAP,true,168.82000732421875,0.53,0.0,0.29,0.0
MAGNUM,true,51.439998626708984,0.74,0.0,-0.1,0.0
NGLFINE,true,2150.050048828125,-0.85,0.0,0.39,0.0
AAVAS,true,1807.300048828125,-1.4,0.0,-0.36,0.0
AWHCL,true,695.5499877929688,0.92,0.0,0.64,0.0
CONSOFINVT,true,219.24000549316406,0.32,0.0,0.64,0.0
KREBSBIO,true,84.0,2.78,0.0,0.78,0.0
BASF,true,6878.7001953125,0.07,0.0,1.4,0.0
EXICOM,true,361.0,3.78,0.0,5.0,0.0
GEOJITFSL,true,162.0800018310547,1.1,0.0,1.02,0.0
HINDCOMPOS,true,605.0999755859375,0.97,0.0,5.54,0.0
PPLPHARMA,true,239.08999633789062,3.31,0.0,6.49,0.0
VPRPL,true,239.94000244140625,-0.13,0.0,0.95,0.0
TARIL,true,688.0,-0.63,0.0,-1.24,0.0
ZOTA,true,675.0,0.71,0.0,0.87,0.0
ABB,true,7608.0,0.96,0.0,-0.86,0.0
BANARISUG,true,3364.0,0.28,0.0,-1.04,0.0
ORBTEXP,true,183.5500030517578,1.88,0.0,-1.91,0.0
SSDL,true,169.89999389648438,1.91,0.0,4.42,0.0
AHLEAST,true,132.1999969482422,-0.02,0.0,-0.05,0.0
BLUECHIP,true,5.28000020980835,-2.04,0.0,-2.0,0.0
CARERATING,true,991.0,1.68,0.0,-0.26,0.0
FOCUS,true,118.7699966430664,-2.0,0.0,-2.01,0.0
GMRINFRA,true,93.58999633789062,1.09,0.0,1.86,0.0
BSE500IETF,true,39.970001220703125,0.23,0.0,1.14,0.0
REFEX,true,408.5,2.19,0.0,1.28,0.0
SETF10GILT,true,238.5800018310547,0.49,0.0,0.22,0.0
TCLCONS,true,40.5,-1.03,0.0,3.28,0.0
MOKSH,true,23.200000762939453,0.09,0.0,-3.34,0.0
TPLPLASTEH,true,111.4000015258789,2.27,0.0,-1.15,0.0
LPDC,true,10.170000076293945,1.9,0.0,1.94,0.0
LICHSGFIN,true,684.6500244140625,-0.29,0.0,-1.89,0.0
ACCURACY,true,10.399999618530273,0.97,0.0,-0.68,0.0
ALKYLAMINE,true,2286.050048828125,-0.24,0.0,-0.43,0.0
BIKAJI,true,850.2999877929688,-1.5,0.0,3.4,0.0
GOKEX,true,927.5999755859375,0.8,0.0,1.24,0.0
GULPOLY,true,240.60000610351562,2.57,0.0,1.72,0.0
HITECHCORP,true,225.22000122070312,1.17,0.0,1.24,0.0
ARENTERP,true,51.45000076293945,-0.02,0.0,0.02,0.0
MAHAPEXLTD,true,167.0,0.91,0.0,-0.21,0.0
ANDHRAPAP,true,116.0999984741211,-1.01,0.0,4.26,0.0
ABSLNN50ET,true,77.98999786376953,0.98,0.0,-0.19,0.0
BCONCEPTS,true,706.4000244140625,1.15,0.0,-1.66,0.0
EMAMIREAL,true,109.0,-2.01,0.0,1.88,0.0
RAILTEL,true,474.75,-0.47,0.0,1.56,0.0
ALPHA,true,57.040000915527344,0.46,0.0,0.6,0.0
MADHAV,true,56.349998474121094,-0.6,0.0,-0.3,0.0
ACCELYA,true,1803.300048828125,0.88,0.0,1.27,0.0
AXISILVER,true,83.79000091552734,1.23,0.0,-1.86,0.0
ENTERO,true,1435.8499755859375,2.54,0.0,0.92,0.0
SAMBHAAV,true,5.71999979019165,-1.38,0.0,-1.02,0.0
ASPINWALL,true,301.3500061035156,-0.07,0.0,1.89,0.0
AURIONPRO,true,1894.1500244140625,-0.91,0.0,2.83,0.0
BLISSGVS,true,130.41000366210938,0.13,0.0,-0.72,0.0
ELGIEQUIP,true,730.5,1.63,0.0,1.03,0.0
SCILAL,true,79.29000091552734,0.88,0.0,0.31,0.0
TITAN,true,3722.89990234375,-0.12,0.0,1.16,0.0
WELINV,true,1032.0,-2.3,0.0,-0.33,0.0
JNKINDIA,true,704.7000122070312,-1.21,0.0,1.21,0.0
RAMCOCEM,true,848.9500122070312,0.74,0.0,0.84,0.0
VETO,true,165.0,-1.2,0.0,1.26,0.0
MEGASOFT,true,53.58000183105469,-1.36,0.0,-1.91,0.0
CLEDUCATE,true,123.66000366210938,3.51,0.0,-2.9,0.0
DELTACORP,true,131.27999877929688,1.1,0.0,-1.37,0.0
DVL,true,491.79998779296875,2.12,0.0,13.75,0.0
GLOBALE,true,41.720001220703125,-0.33,0.0,-9.61,0.0
SKYGOLD,true,2671.64990234375,-0.33,0.0,-2.05,0.0
SSWL,true,225.10000610351562,-0.5,0.0,1.54,0.0
VERANDA,true,349.0,0.26,0.0,3.72,0.0
VISHNU,true,400.6000061035156,0.31,0.0,-0.26,0.0
BHARTIHEXA,true,1236.550048828125,0.78,0.0,2.53,0.0
EMAMILTD,true,819.0499877929688,-0.69,0.0,-0.34,0.0
GPTINFRA,true,152.58999633789062,0.65,0.0,-4.16,0.0
SHRADHA,true,129.5,0.15,0.0,-2.72,0.0
TOKYOPLAST,true,130.0,2.86,0.0,-2.57,0.0
WEALTH,true,1225.0,1.7,0.0,-0.41,0.0
EBBETF0425,true,1237.5,0.2,0.0,0.0,0.0
SINCLAIR,true,105.25,0.68,0.0,0.31,0.0
TIPSFILMS,true,535.75,0.34,0.0,-1.14,0.0
TRIGYN,true,118.11000061035156,0.07,0.0,0.67,0.0
JAYSREETEA,true,132.8300018310547,-0.89,0.0,-0.24,0.0
E2E,true,2650.0,-1.65,0.0,-2.36,0.0
GHCL,true,679.6500244140625,-0.07,0.0,3.05,0.0
ADANIENSOL,true,1007.3499755859375,-0.66,0.0,0.69,0.0
BAJAJHLDNG,true,10449.7998046875,1.02,0.0,-0.13,0.0
CCHHL,true,22.200000762939453,0.36,0.0,-4.08,0.0
GRWRHITECH,true,3276.60009765625,-2.03,0.0,1.58,0.0
HYBRIDFIN,true,14.350000381469727,0.0,0.0,2.43,0.0
THYROCARE,true,864.9500122070312,0.92,0.0,0.06,0.0
TREEHOUSE,true,21.81999969482422,0.09,0.0,-0.41,0.0
VHL,true,4015.300048828125,1.38,0.0,1.99,0.0
WEWIN,true,71.4000015258789,2.0,0.0,-1.35,0.0
ZODIACLOTH,true,123.9000015258789,-0.08,0.0,-0.15,0.0
INFIBEAM,true,30.350000381469727,2.15,0.0,-1.3,0.0
JKLAKSHMI,true,794.0499877929688,-0.74,0.0,0.99,0.0
ARTEMISMED,true,286.54998779296875,0.02,0.0,3.19,0.0
ASIANENE,true,390.8500061035156,-0.42,0.0,-0.95,0.0
IIFLSEC,true,303.79998779296875,0.08,0.0,1.1,0.0
PANSARI,true,136.0,4.45,0.0,-2.1,0.0
SURANAT&P,true,21.329999923706055,1.23,0.0,3.03,0.0
TTKHLTCARE,true,1834.800048828125,0.12,0.0,-0.57,0.0
ZENITHEXPO,true,270.3500061035156,0.0,0.0,-0.5,0.0
NIFTY1,true,272.0400085449219,0.6,0.0,0.16,0.0
NDGL,true,3389.5,5.0,0.0,1.38,0.0
ABSLAMC,true,743.0999755859375,0.37,0.0,2.33,0.0
AEROFLEX,true,207.94000244140625,3.85,0.0,7.62,0.0
PCBL,true,488.79998779296875,0.23,0.0,2.4,0.0
TIMKEN,true,3732.0,0.84,0.0,-0.01,0.0
LANDMARK,true,598.3499755859375,0.39,0.0,1.6,0.0
MALUPAPER,true,48.939998626708984,-0.47,0.0,2.25,0.0
ARE&M,true,1427.8499755859375,0.25,0.0,0.91,0.0
CAPACITE,true,395.5,4.07,0.0,0.32,0.0
HARDWYN,true,30.530000686645508,-0.33,0.0,0.72,0.0
FMCGIETF,true,68.04000091552734,0.46,0.0,0.19,0.0
SPAL,true,1030.4000244140625,1.07,0.0,-1.33,0.0
SUPREMEENG,true,3.140000104904175,1.95,0.0,1.99,0.0
IOLCP,true,481.75,-0.4,0.0,0.76,0.0
DYCL,true,539.4500122070312,0.41,0.0,0.57,0.0
GLFL,true,7.449999809265137,-0.53,0.0,-2.09,0.0
SATIN,true,209.94000244140625,0.12,0.0,0.0,0.0
SIMPLEXINF,true,191.9600067138672,1.56,0.0,5.0,0.0
BALAJITELE,true,67.30000305175781,-0.4,0.0,3.25,0.0
CARYSIL,true,880.3499755859375,-1.01,0.0,3.5,0.0
DALMIASUG,true,452.6499938964844,-0.42,0.0,0.25,0.0
GUFICBIO,true,411.5,2.84,0.0,2.08,0.0
HPL,true,586.3499755859375,0.63,0.0,0.09,0.0
PVTBANIETF,true,25.790000915527344,-0.04,0.0,0.39,0.0
NAM-INDIA,true,685.9500122070312,1.74,0.0,0.28,0.0
QNIFTY,true,2703.0,0.42,0.0,0.36,0.0
TIDEWATER,true,2470.75,0.04,0.0,1.08,0.0
MOHITIND,true,28.5,0.46,0.0,-1.01,0.0
BLAL,true,272.45001220703125,0.54,0.0,0.72,0.0
ESSARSHPNG,true,44.2400016784668,1.1,0.0,3.97,0.0
RADHIKAJWE,true,119.70999908447266,-1.34,0.0,-5.0,0.0
MANAPPURAM,true,205.3000030517578,0.29,0.0,0.01,0.0
NDTV,true,196.07000732421875,-0.16,0.0,1.51,0.0
CENTURYTEX,true,2650.0,6.64,0.0,5.52,0.0
ESILVER,true,84.19999694824219,0.97,0.0,-2.11,0.0
UDS,true,387.3999938964844,1.02,0.0,0.85,0.0
BANKETF,true,517.219970703125,-0.17,0.0,0.54,0.0
ACC,true,2472.5,1.19,0.0,-0.62,0.0
ADANIPORTS,true,1455.0,0.11,0.0,1.22,0.0
AJANTPHARM,true,3457.449951171875,0.9,0.0,3.93,0.0
ALLCARGO,true,69.69999694824219,-1.94,0.0,8.59,0.0
LIQUIDBETF,true,999.989990234375,-0.0,0.0,0.0,0.0
BIOFILCHEM,true,66.12999725341797,1.52,0.0,0.25,0.0
DAMODARIND,true,48.189998626708984,1.35,0.0,0.42,0.0
DENORA,true,1605.0999755859375,0.61,0.0,-0.51,0.0
DIGIDRIVE,true,48.150001525878906,-0.12,0.0,2.86,0.0
EMCURE,true,1402.25,0.89,0.0,-0.06,0.0
GMBREW,true,882.5999755859375,-0.93,0.0,7.82,0.0
GEEKAYWIRE,true,121.0,0.58,0.0,-1.22,0.0
ORIENTLTD,true,100.66999816894531,0.85,0.0,-0.93,0.0
S&SPOWER,true,439.6000061035156,2.0,0.0,1.98,0.0
SULA,true,490.75,0.48,0.0,1.51,0.0
KHADIM,true,366.6000061035156,-0.5,0.0,2.98,0.0
KIRIINDUS,true,377.1000061035156,-0.48,0.0,-0.3,0.0
DIVOPPBEES,true,87.04000091552734,0.2,0.0,0.47,0.0
ASIANPAINT,true,3319.89990234375,0.75,0.0,0.44,0.0
EVERESTIND,true,1156.3499755859375,0.23,0.0,2.94,0.0
KALYANIFRG,true,532.4500122070312,0.0,0.0,1.34,0.0
MBAPL,true,218.5,0.39,0.0,-0.16,0.0
ALLSEC,true,1158.300048828125,2.98,0.0,1.09,0.0
COFORGE,true,6816.9501953125,0.15,0.0,4.87,0.0
GOPAL,true,343.3999938964844,-2.01,0.0,7.35,0.0
NOCIL,true,297.29998779296875,1.62,0.0,1.86,0.0
NECCLTD,true,31.40999984741211,-0.51,0.0,0.64,0.0
PATANJALI,true,1920.9000244140625,-1.02,0.0,0.86,0.0
SMLT,true,174.92999267578125,0.95,0.0,1.48,0.0
VINNY-RE,true,0.0,0.0,0.0,0.0,0.0
WILLAMAGOR,true,37.150001525878906,3.11,0.0,-1.18,0.0
JINDWORLD,true,364.20001220703125,-0.11,0.0,0.43,0.0
LICI,true,1031.199951171875,-0.09,0.0,0.28,0.0
AARVI,true,148.5500030517578,1.99,0.0,0.43,0.0
AIROLAM,true,132.6699981689453,0.37,0.0,0.31,0.0
DCMFINSERV,true,10.40999984741211,-2.07,0.0,-2.03,0.0
DIGISPICE,true,32.869998931884766,0.0,0.0,-0.36,0.0
GLAND,true,1930.3499755859375,0.15,0.0,1.52,0.0
NURECA,true,337.75,-1.3,0.0,1.02,0.0
OIL,true,579.25,-4.87,0.0,-3.97,0.0
REPCOHOME,true,540.3499755859375,-0.91,0.0,2.18,0.0
SARDAEN,true,369.8500061035156,0.41,0.0,4.04,0.0
SUULD,true,4.769999980926514,0.42,0.0,-0.84,0.0
VINDHYATEL,true,2319.5,-1.42,0.0,2.6,0.0
INTLCONV,true,82.4000015258789,0.89,0.0,-0.73,0.0
KAYA,true,474.95001220703125,0.6,0.0,2.55,0.0
MHLXMIRU,true,173.8800048828125,1.54,0.0,1.04,0.0
NHPC,true,95.44000244140625,0.41,0.0,0.19,0.0
DALBHARAT,true,1898.800048828125,0.6,0.0,0.63,0.0
INDSWFTLTD,true,23.65999984741211,-0.29,0.0,0.68,0.0
IITL,true,255.0,-1.92,0.0,1.19,0.0
KIRLOSBROS,true,1653.199951171875,-0.53,0.0,0.68,0.0
ALANKIT,true,25.760000228881836,-1.23,0.0,2.64,0.0
GODREJAGRO,true,780.2999877929688,-1.18,0.0,2.83,0.0
TIPSINDLTD,true,723.4000244140625,0.15,0.0,2.61,0.0
VLEGOV,true,128.6999969482422,1.59,0.0,4.98,0.0
ZEELEARN,true,8.520000457763672,1.91,0.0,1.95,0.0
ASMS,true,18.219999313354492,2.07,0.0,5.0,0.0
CTE,true,95.55999755859375,-1.74,0.0,-2.01,0.0
TTKPRESTIG,true,907.5,-0.53,0.0,1.43,0.0
NIFITETF,true,428.54998779296875,1.07,0.0,-0.74,0.0
NIPPOBATRY,true,577.25,-0.36,0.0,1.46,0.0
GSEC10YEAR,true,27.049999237060547,0.93,0.0,-0.74,0.0
MOLOWVOL,true,39.81999969482422,1.17,0.0,0.36,0.0
HEUBACHIND,true,551.4500122070312,0.57,0.0,0.54,0.0
VSTTILLERS,true,4292.9501953125,0.13,0.0,-0.29,0.0
LANCORHOL,true,42.459999084472656,2.34,0.0,-1.54,0.0
ARTNIRMAN,true,64.5,-0.75,0.0,0.45,0.0
BAJAJHCARE,true,384.70001220703125,-0.75,0.0,4.08,0.0
PFC,true,514.8499755859375,0.8,0.0,-2.45,0.0
KSL,true,761.2999877929688,-0.52,0.0,0.72,0.0
MID150BEES,true,225.38999938964844,0.22,0.0,1.09,0.0
CLEAN,true,1567.5999755859375,-0.72,0.0,2.78,0.0
EMIL,true,217.61000061035156,0.97,0.0,0.95,0.0
VMART,true,3680.0,-0.25,0.0,2.44,0.0
IONEXCHANG,true,693.7999877929688,2.09,0.0,1.19,0.0
NAVINIFTY,true,253.9199981689453,-0.35,0.0,1.55,0.0
COALINDIA,true,490.20001220703125,-0.18,0.0,1.37,0.0
EBBETF0433,true,1147.510009765625,-0.03,0.0,0.01,0.0
GLENMARK,true,1739.5999755859375,0.68,0.0,1.39,0.0
SOTL,true,583.75,0.31,0.0,0.51,0.0
SUPRAJIT,true,535.7999877929688,-3.21,0.0,8.93,0.0
GROBTEA,true,1080.0,1.14,0.0,0.98,0.0
JYOTICNC,true,1138.0,-0.59,0.0,1.62,0.0
MKPL,true,10.979999542236328,-2.31,0.0,4.95,0.0
NDLVENTURE,true,115.20999908447266,0.07,0.0,9.36,0.0
ESCORTS,true,3770.39990234375,0.75,0.0,1.58,0.0
MADHUCON,true,13.510000228881836,0.07,0.0,-0.22,0.0
MAHESHWARI,true,66.87000274658203,0.24,0.0,-0.77,0.0
MAKEINDIA,true,151.5500030517578,0.42,0.0,0.19,0.0
COMMOIETF,true,93.5199966430664,0.07,0.0,0.47,0.0
THEINVEST,true,186.0,0.25,0.0,-0.27,0.0
KFINTECH,true,988.25,-0.56,0.0,-0.31,0.0
MUKTAARTS,true,81.9000015258789,1.15,0.0,-0.42,0.0
HBLPOWER,true,610.9500122070312,-0.39,0.0,1.92,0.0
UTKARSHBNK,true,47.959999084472656,-0.06,0.0,0.02,0.0
MUTHOOTFIN,true,1959.4000244140625,-0.02,0.0,-1.49,0.0
CAMS,true,4404.35009765625,3.58,0.0,0.1,0.0
DOLPHIN,true,626.0999755859375,-2.0,0.0,0.47,0.0
EIMCOELECO,true,2950.0,0.03,0.0,0.09,0.0
FACT,true,1012.9000244140625,1.43,0.0,2.51,0.0
RPPL,true,92.69000244140625,2.97,0.0,-1.41,0.0
TVSHLTD,true,14420.599609375,0.65,0.0,2.37,0.0
VBL,true,1532.800048828125,0.84,0.0,-0.38,0.0
VIDHIING,true,443.3999938964844,1.14,0.0,-0.15,0.0
MGL,true,1859.8499755859375,-0.26,0.0,1.04,0.0
RADIOCITY,true,15.789999961853027,0.77,0.0,-0.51,0.0
MOM30IETF,true,36.65999984741211,0.16,0.0,0.52,0.0
SANGAMIND,true,449.25,4.7,0.0,0.22,0.0
